wpm,accuracy,mistakes,backspaces,consistency,typing_time,level
70,77,9,1,80,104.6595502,Professional
71,95,7,4,71,100.4031635,Intermediate
66,95,6,1,73,74.00426285,Intermediate
65,96,12,10,89,59.73545604,Intermediate
84,50,2,12,65,110.4551731,Professional
74,61,5,6,85,83.54827573,Beginner
56,67,7,0,77,84.77417337,Professional
47,85,13,13,56,80.46610277,Advanced
60,67,7,3,85,64.51764496,Beginner
66,100,4,4,72,105.0313807,Intermediate
45,83,2,1,86,53.5200154,Intermediate
49,63,13,0,77,112.6640952,Beginner
46,81,15,5,87,89.76556985,Beginner
74,87,8,2,73,81.76061708,Professional
51,100,8,11,95,47.36031778,Intermediate
61,95,9,12,92,81.7202747,Intermediate
36,79,7,10,63,103.2091633,Advanced
61,96,5,4,79,72.32385504,Intermediate
56,69,13,5,85,100.3593491,Beginner
34,82,9,9,70,68.21959843,Advanced
46,69,13,1,75,118.425584,Beginner
28,68,4,5,79,76.65648533,Advanced
19,56,1,1,95,46.72475156,Advanced
41,89,16,9,98,64.16800075,Beginner
18,60,1,2,91,70.4530231,Advanced
60,76,8,7,71,74.01781444,Professional
63,69,8,1,77,100.4887094,Beginner
66,68,10,11,95,77.84527177,Beginner
85,57,3,5,78,97.82056342,Beginner
81,61,1,8,68,108.3767738,Professional
63,71,8,4,83,80.50940598,Beginner
62,91,6,5,83,63.34093532,Intermediate
63,80,11,10,92,77.10468864,Beginner
43,78,13,7,69,71.73815042,Advanced
70,74,6,4,75,97.17577547,Professional
62,95,7,6,84,56.66564723,Intermediate
49,96,9,3,76,65.56343096,Professional
59,92,8,8,87,65.00423848,Intermediate
59,77,9,6,72,66.27243991,Professional
57,74,17,11,64,58.48539444,Advanced
39,73,8,9,68,78.83213494,Advanced
66,70,10,5,73,70.21883456,Professional
76,75,1,4,80,61.92295132,Beginner
81,70,0,6,83,52.45076529,Beginner
67,81,5,7,87,54.73358223,Beginner
87,63,3,7,66,99.11049531,Intermediate
43,64,15,2,75,120.5479314,Beginner
17,66,1,1,92,61.18657458,Advanced
39,57,15,5,100,55.63178723,Advanced
64,69,9,7,71,72.1383756,Professional
92,79,0,12,87,58.37259008,Beginner
25,72,8,0,89,76.74295598,Advanced
63,90,1,0,72,69.77306722,Intermediate
69,79,4,4,80,72.12441294,Beginner
66,100,9,8,79,104.8786471,Intermediate
71,96,10,5,73,102.3732588,Intermediate
22,72,2,5,79,100.4630009,Advanced
64,98,3,2,71,101.9217166,Intermediate
56,92,13,15,100,52.12799095,Beginner
36,79,7,11,66,64.95693198,Advanced
54,68,8,7,75,71.6225829,Professional
81,99,8,0,61,106.4104989,Professional
65,99,14,13,91,76.51611888,Intermediate
73,71,0,3,81,51.37552057,Beginner
54,90,10,10,100,80.44352078,Intermediate
71,76,3,7,69,92.88761944,Professional
77,56,7,3,76,119.0231483,Beginner
12,57,2,7,100,78.70278682,Advanced
73,58,8,2,74,125.4441027,Beginner
67,70,5,4,82,74.63694309,Beginner
53,73,10,1,81,83.05403026,Beginner
38,74,5,12,61,98.90555524,Advanced
74,66,13,16,96,107.8406787,Beginner
66,65,3,9,69,88.86824167,Professional
39,78,10,9,68,72.62942077,Advanced
35,77,8,7,70,98.44230346,Advanced
67,68,6,2,78,89.49499236,Beginner
22,71,5,0,86,108.1603265,Advanced
37,82,11,7,67,109.6128249,Advanced
37,77,7,10,65,92.43607651,Advanced
69,100,6,4,72,100.1772573,Intermediate
77,68,0,1,76,62.39029867,Beginner
63,64,6,8,71,74.83293688,Professional
37,90,3,12,100,57.31165902,Intermediate
63,70,10,6,72,62.81793764,Professional
75,77,7,3,75,101.7567276,Professional
57,98,5,8,79,122.8020055,Intermediate
62,68,5,7,73,88.30716076,Professional
36,78,11,5,73,85.93237055,Advanced
43,93,2,9,95,70.96508235,Intermediate
41,98,6,15,100,58.25648681,Intermediate
52,96,9,17,100,92.23116102,Intermediate
48,74,9,13,59,73.43443542,Advanced
84,98,7,2,55,106.0082612,Intermediate
61,91,4,4,79,82.63506699,Intermediate
72,97,12,7,80,75.30718593,Intermediate
73,70,6,6,71,89.98370721,Professional
76,58,0,6,75,126.7499406,Professional
67,76,7,4,75,90.54720403,Professional
76,64,8,6,78,117.2602634,Beginner
56,84,13,11,95,72.80927161,Beginner
79,64,10,12,88,115.5246827,Beginner
42,73,13,2,79,90.73084632,Intermediate
72,70,4,5,83,73.11149949,Beginner
68,89,7,2,76,63.87465556,Intermediate
58,62,14,3,80,124.6319351,Beginner
23,65,1,4,84,69.56592131,Advanced
57,88,5,5,87,48.61965769,Intermediate
69,65,11,8,86,110.4292251,Beginner
55,73,9,9,68,54.35122533,Professional
63,94,4,4,76,101.2361842,Intermediate
73,74,1,4,82,53.42243516,Beginner
10,58,2,3,100,69.2221329,Advanced
57,78,7,3,84,64.15092747,Beginner
56,92,10,11,95,60.4788178,Intermediate
74,95,14,8,83,58.90617409,Intermediate
33,83,9,7,69,105.9521789,Advanced
15,63,1,0,96,69.77170492,Advanced
58,78,20,6,63,97.98559278,Advanced
58,75,8,9,67,54.76298499,Professional
38,65,8,2,78,102.3501811,Advanced
77,74,4,6,82,75.14262287,Beginner
41,90,1,6,92,64.15876284,Intermediate
71,97,9,5,76,71.18386656,Intermediate
67,100,5,3,65,131.9782129,Intermediate
62,62,13,7,82,133.2707514,Beginner
33,78,6,9,69,73.40426079,Advanced
57,74,10,3,79,82.47451433,Professional
27,67,7,0,89,74.59286587,Advanced
64,74,7,4,76,90.11183924,Professional
58,90,5,4,85,60.51401673,Intermediate
40,75,12,5,75,69.29414091,Advanced
64,84,11,3,74,70.87596656,Professional
83,100,11,1,63,96.849459,Intermediate
65,76,9,7,87,81.09174377,Beginner
37,76,12,5,77,65.95063913,Advanced
59,94,4,4,80,67.25826153,Intermediate
62,100,4,3,75,86.18785716,Intermediate
66,93,16,1,79,64.43407586,Professional
71,60,8,3,77,116.5251207,Beginner
62,78,9,2,77,100.3032496,Beginner
67,82,6,9,91,56.34469708,Beginner
55,80,7,7,94,54.39538057,Beginner
28,80,7,9,68,78.23147488,Advanced
64,63,6,7,72,83.62008397,Professional
70,75,5,6,71,90.47819822,Professional
67,80,9,8,89,72.04206584,Beginner
57,88,9,9,93,45.13000868,Intermediate
54,94,4,7,87,78.21528942,Intermediate
63,99,7,7,78,113.3181645,Intermediate
27,73,8,2,84,67.10054673,Advanced
